Otázka,Odpověď,Typ,Obrázek
Kdo napsal román Babička?,Božena Němcová,normal,
Kdo složil Slovanské tance?,Antonín Dvořák,normal,
Jak se jmenuje nejslavnější Dvořákova opera?,Rusalka,normal,
Kdo napsal Osudy dobrého vojáka Švejka?,Jaroslav Hašek,normal,
Jak se nazývá nejstarší česká symfonie (autor: Josef Mysliveček)?,Symfonie B dur „Il Venturiero",normal,
Kdo je autorem sochy Koně sv. Václava na Václavském náměstí?,Josef Václav Myslbek,normal,
Jak se jmenuje slavný český animovaný seriál o malé hnědé postavičce?,Krtek (Pohádky z mechu a kapradí),normal,
Jaký český film z roku 1966 získal Oscara za nejlepší cizojazyčný film?,Obchod na korze,normal,
Jak se jmenuje literární postava Čapkova románu z roku 1936 o salamandrech?,Válka s Mloky,normal,
Kdo napsal hru Zahradní slavnost?,Václav Havel,normal,
Jak se jmenuje nejstarší české divadlo?,Stavovské divadlo (1783),normal,
Který český skladatel je autorem opery Prodaná nevěsta?,Bedřich Smetana,normal,
Vyjmenujte po jednom co nejvíce českých spisovatelů/básníků. Střídejte se (Duel),"Němcová, Hašek, Čapek, Neruda, Mácha, Seifert, Kundera, Klíma, Hrabal, Škvorecký...",duel,
Odhadněte: v jakém roce byl postaven Karlův most v Praze (kdy bylo zahájeno stavby)?,1357,duel,
