Otázka,Odpověď,Typ,Obrázek
Z čeho se dělá guacamole?,Avokádo,normal,
Jaká je hlavní surovina japonského miso polévky?,Sójová pasta (miso),normal,
Jak se jmenuje italský dezert připravený z mascarpone a piškotů namočených v kávě?,Tiramisu,normal,
Ve které zemi vznikl kebab döner?,Turecko,normal,
Jak se nazývá francouzská cibulová polévka zapečená se sýrem?,Soupe à l'oignon (francouzská cibulová polévka),normal,
Co je to „umami"?,Pátá základní chuť (slaná/masová/glutamátová),normal,
Ze které zeleniny se vyrábí kimchi?,Čínské zelí (pekingské zelí),normal,
Jak se nazývá španělská studená rajčatová polévka?,Gazpacho,normal,
Kolik kalorií má přibližně 100 g olivového oleje? (do 50 kcal chyba),884 kcal,normal,
Z jakého ovoce se vyrábí víno?,Hrozny (vinné hrozny),normal,
Jak se jmenuje české tradiční jídlo z vepřového, zelí a knedlíku?,Vepřo-knedlo-zelo,normal,
Co je to „blanšírování" v kuchyni?,Krátké ponoření do vroucí vody a pak do ledové (šokové chlazení),normal,
Odhadněte: kolik druhů sýrů se vyrábí ve Francii? (do 50 chyba),cca 1 200 druhů,duel,
Vyjmenujte co nejvíce italských těstovin (název druhu). Střídejte se (Duel),"Spaghetti, Penne, Fusilli, Rigatoni, Tagliatelle, Farfalle, Linguine, Gnocchi, Lasagne, Orecchiette",duel,
