Otázka,Odpověď,Typ,Obrázek
Kdo je zakladatelem světového skautingu?,Robert Baden-Powell,normal,
V jakém roce byl světový skauting oficiálně založen?,1907,normal,
Kde proběhl první skautský tábor na světě?,Ostrov Brownsea (Anglie),normal,
Kdo je zakladatelem českého skautingu?,Antonín Benjamin Svojsík,normal,
V jakém roce vznikl český skauting (Junák)?,1911 / 1912,normal,
Jak se jmenovalo první skautské sdružení v Čechách?,Junák – český skaut,normal,
Ve kterých letech byl český skauting zakázán za komunismu? (dohromady),"1948–1968, 1970–1989",normal,
Kdo napsal knihu Scouting for Boys?,Robert Baden-Powell,normal,
Jak se jmenuje zakladatelka dívčích skautů (Girl Guides)?,Agnes Baden-Powell / Olave Baden-Powell,normal,
V jakém roce se konalo první světové skautské jamboree?,1920,normal,
Kdo byl vzorem pro hrdinu Mauglího a také inspiroval Baden-Powella?,Rudyard Kipling,normal,
Ve kterém městě sídlí světová skautská organizace WOSM?,Ženeva (Švýcarsko),normal,
Odhadněte: kolik členů má světový skauting dnes? (v milionech, do 10M chyba),cca 57 milionů,duel,
Vyjmenujte co nejvíce zákazů českého skautingu a roky. Střídejte se (Duel),"1. světová válka 1914–1918, Protektorát 1940–1945, komunismus 1948–1968 a 1970–1989",duel,
