Otázka,Odpověď,Typ,Obrázek
Ve které zemi byla IKEA založena?,Švédsko,normal,
Kdo je zakladatelem IKEA?,Ingvar Kamprad,normal,
V jakém roce byla IKEA založena?,1943,normal,
Co znamená zkratka IKEA?,Ingvar Kamprad Elmtaryd Agunnaryd,normal,
Jak se jmenuje nejprodávanější svítidlo IKEA všech dob?,IKEA 365+ / Jansjö,normal,
Jak se jmenuje populární polička z IKEA složená ze čtvercových modulů?,KALLAX,normal,
Jaká je přibližná cena slavné ikejské svíčky IKEA (GLIMMA tealight 100ks)? (do 20 Kč chyba),cca 79 Kč,normal,
Jakou restauraci najdeme v každé velké IKEA?,IKEA Food / samoobslužnou restauraci,normal,
Co je to BILLY v IKEA?,Knižní police / knihovna,normal,
Jaký stát má celosvětově nejvíce prodejen IKEA?,USA / Německo,normal,
IKEA pojmenovává postele a matrace podle míst z jaké země?,Norsko,normal,
Jak se jmenuje maskot / plyšák co IKEA prodává nejčastěji?,BLÅHAJ (žralok),normal,
Odhadněte: kolik zemí má v roce 2024 prodejnu IKEA? (do 10 chyba),63 zemí,duel,
Vyjmenujte co nejvíce produktů z IKEA. Střídejte se (Duel),"BILLY, KALLAX, MALM, POÄNG, LACK, HEMNES, IVAR, EXPEDIT, PAX, TROFAST",duel,
