Otázka,Odpověď,Typ,Obrázek
Který český brankář je považován za nejlepšího hokejového gólmana světa?,Dominik Hašek,normal,
Jaký sport hraje Jaromír Jágr?,Lední hokej,normal,
Která česká tenistka vyhrála Wimbledon 9×?,Martina Navrátilová,normal,
Jaký je nejúspěšnější český fotbalový klub v historii?,AC Sparta Praha,normal,
Ve kterém sportu závodí Aleš Loprais?,Rallye Dakar (kamiony),normal,
Kdo je nejznámějším českým cyklistou Tour de France?,Jan Ullrich je německý – správně Roman Kreuziger / Zdeněk Štybar,normal,
Které město hostilo MS v ledním hokeji 2024?,Praha a Ostrava,normal,
Jak se jmenuje nejznámější česká biatlonistka?,Gabriela Koukalová / Markéta Davidová,normal,
Ve kterém roce získalo Česko zlatou medaili na olympiádě v hokeji?,1998 (Nagano),normal,
Kdo byl trenérem zlatého hokejového týmu v Naganu 1998?,Ivan Hlinka,normal,
Jaký český sportovec drží rekord v desetiboji z roku 2001?,Roman Šebrle,normal,
Které město v ČR má prvoligový fotbalový klub Zbrojovka?,Brno,normal,
Vyjmenujte co nejvíce zlatých olympijských medailistů z ČR. Střídejte se (Duel),"Šebrle, Navrátilová, Šteflíčková, Kratochvílová, Železný, Vondráček...",duel,
Odhadněte: kolik hokejových titulů mistrů světa získalo Česko/Československo dohromady?,13 (ke 2023),duel,
