Otázka,Odpověď,Typ,Obrázek
Jak se jmenuje největší národní park v ČR?,NP Šumava,normal,
Jaký je národní strom Čechů?,Lípa srdčitá,normal,
Jak se jmenuje největší česká jeskyně?,Amatérská jeskyně (Moravský kras),normal,
Kolik přibližně druhů netopýrů žije v ČR?,přes 25 druhů,normal,
Jaký je nejvzácnější dravec hnízdící v ČR?,Orel mořský,normal,
Jak se jmenuje jev kdy se semena javorů vrtí při pádu?,Autorotace / vrtulkování,normal,
Kolika centimetrů dosahuje největší česká žába – skokan hnědý?,6–9 cm,normal,
Jak se nazývá největší chráněné území v oblasti Bílých Karpat?,CHKO Bílé Karpaty,normal,
Jaký je latinský název smrku ztepilého?,Picea abies,normal,
Které hmyzí kolonie jsou v ČR zákonem chráněny?,Kolonky mravenců lesních,normal,
Jak se jmenuje endemický rak žijící v českých tocích?,Rak říční,normal,
Jaký je průměrný věk dubu letního v českých lesích?,200–500 let,normal,
Vyjmenujte po jednom druhy stromů rostoucí v ČR. Střídejte se (Duel),"Dub, Buk, Smrk, Borovice, Jedle, Lípa, Bříza, Javor, Jasan, Olše, Vrba, Třešeň, Jilm...",duel,
Odhadněte: kolik metrů je hluboká Amatérská jeskyně (průchozí délka v km)?,~34 km,duel,
