Otázka,Odpověď,Typ,Obrázek
Jak se jmenuje celosvětová skautská organizace?,WOSM (World Organization of the Scout Movement),normal,
Jak se nazývá nejmenší skautská jednotka?,Hlídka / Družina (záleží na věku),normal,
Jak se nazývá vůdce skautského střediska?,Střediskový vedoucí / Starosta,normal,
Jak se nazývají skautky do 10 let v Junáku?,Světlušky,normal,
Jak se nazývají skauti do 10 let v Junáku?,Vlčata,normal,
Co je to „rover" v skautingu?,Nejstarší skautská kategorie (18+),normal,
Jak se nazývá tradiční skautský pozdrav jednou rukou?,Skautský pozdrav (levá ruka),normal,
Co symbolizuje skautská lilii (fleur-de-lis)?,Sever na kompasu / čistotu a vedení správnou cestou,normal,
Jak se jmenuje základní skautský zákon – kolik má bodů?,10 bodů (Skautský zákon má 10 bodů),normal,
Jak se nazývá vedoucí oddílu v Junáku?,Oddílový vedoucí / Vůdce oddílu,normal,
Jak se nazývá celostátní skautské shromáždění v Junáku?,Valný sněm Junáka,normal,
Odhadněte: kolik členů má Junák – český skaut v roce 2024? (do 5 000 chyba),cca 75 000 členů,duel,
Vyjmenujte co nejvíce kategorií věkových skupin v Junáku. Střídejte se (Duel),"Benjamínci, Světlušky/Vlčata, Skauti/Skautky, Rangers/Roveři, Dospělí vedoucí",duel,
