Otázka,Odpověď,Typ,Obrázek
Kdy vznikla samostatná Česká republika?,1. ledna 1993,normal,
Kdo byl prvním prezidentem ČR?,Václav Havel,normal,
V jakém roce proběhla Sametová revoluce?,1989,normal,
Jak se jmenoval zakladatelský herec Národního divadla?,František Kolár / Jan Nepomuk Mayer,normal,
Ve kterém roce byl Karel IV. korunován císařem Svaté říše římské?,1355,normal,
Jak se jmenuje nejstarší česká kronika?,Kosmova kronika (Kronika česká),normal,
Ve kterém roce bylo otevřeno Národní divadlo?,1881,normal,
Kdo byl prvním prezidentem Československa?,Tomáš Garrigue Masaryk,normal,
Jak se jmenoval poslední český král z rodu Habsburků?,Karel I. (jako Karel VI. habsburský),normal,
V jakém roce bylo Československo rozděleno na dva státy?,1993,normal,
Jak se nazývá povstání z roku 1618 která zahájilo třicetiletou válku?,Pražská defenestrace,normal,
Ve kterém roce se Česká republika stala členem NATO?,1999,normal,
Jak se jmenoval český kníže pokřtěný roku 845 v Řezně?,Bořivoj I.,normal,
Vyjmenujte po jednom co nejvíce prezidentů ČR/Československa. Střídejte se (Duel),"Masaryk, Beneš, Gottwald, Zápotocký, Novotný, Svoboda, Husák, Havel, Klaus, Zeman, Pavel",duel,
Odhadněte: v jakém roce byl Karel IV. korunován českým králem?,1347,duel,
