Otázka,Odpověď,Typ,Obrázek
Kolik planet má sluneční soustava?,8,normal,
Jaká je chemická značka zlata?,Au,normal,
Kdo napsal Hamleta?,William Shakespeare,normal,
Jak se nazývá největší oceán na Zemi?,Tichý oceán (Pacifik),normal,
Kolik strun má klasická kytara?,6,normal,
Jaká je hlavní město Austrálie?,Canberra,normal,
Jak se nazývá nejdelší řeka světa?,Nil (nebo Amazonka – dle měření),normal,
Co znamená zkratka URL v informatice?,Uniform Resource Locator,normal,
Kolik kostek cukru obsahuje průměrná plechovka Coca-Coly (0,33 l)? (do 2 chyba),cca 9 kostek,normal,
Jaká je přibližná rychlost světla v km/s? (do 10 000 chyba),299 792 km/s,normal,
Z čeho je vyroben tužkový grafit?,Uhlík (grafit),normal,
Jak se jmenuje největší prales / deštný les na světě?,Amazonský prales,normal,
Odhadněte: kolik metrů měří Eiffelova věž? (do 15 m chyba),330 m (s anténou),duel,
Vyjmenujte co nejvíce planet sluneční soustavy. Střídejte se (Duel),"Merkur, Venuše, Země, Mars, Jupiter, Saturn, Uran, Neptun",duel,
